id,project_type,location,funding_amount_cr,prior_experience_years,estimated_duration_months,actual_duration_months,cost_overrun_pct,delay,approval_outcome,issues_found,quality_score,quality_category
97,Road,Arunachal Pradesh,89.52,1,15.0,15.5,0.0,False,Revised,Technical Flaw; Budget Miscalculation; Environmental Non-Compliance,9.66,Good
98,Tourism,Nagaland,53.51,2,39.5,44.2,0.0,False,Approved,Technical Flaw; Timeline Unrealistic,7.86,Good
99,Health,Meghalaya,56.28,0,12.8,16.3,24.44,True,Revised,None,8.36,Good
100,Tourism,Mizoram,75.95,3,38.8,37.5,0.0,False,Approved,None,7.27,Good
101,Road,Arunachal Pradesh,77.8,1,19.7,21.9,6.59,True,Approved,Budget Miscalculation,7.79,Good
102,Power,Sikkim,20.81,3,10.4,17.0,35.32,True,Approved,Technical Flaw; Timeline Unrealistic; Environmental Non-Compliance,9.33,Good
103,Health,Nagaland,61.61,2,43.6,46.1,40.86,False,Approved,Budget Miscalculation,4.67,Poor
104,Education,Assam,87.31,1,19.8,20.9,55.82,False,Approved,Budget Miscalculation; Timeline Unrealistic; Technical Flaw,8.36,Good
105,Road,Manipur,65.38,1,22.9,26.9,0.0,True,Revised,None,6.82,Needs Revision
106,Education,Meghalaya,73.8,10,47.5,49.5,0.0,False,Approved,None,9.77,Good
107,Power,Manipur,59.64,10,21.1,20.7,23.29,False,Rejected,Timeline Unrealistic; Budget Miscalculation; Environmental Non-Compliance,8.09,Good
108,Power,Sikkim,41.89,10,26.7,27.8,0.0,False,Approved,None,5.19,Needs Revision
109,Road,Meghalaya,26.56,5,6.4,7.3,29.94,True,Approved,Budget Miscalculation,6.12,Needs Revision
110,Health,Nagaland,15.43,5,16.4,18.9,35.34,True,Approved,None,6.92,Needs Revision
111,Health,Tripura,58.95,10,14.6,16.0,0.0,True,Approved,Technical Flaw; Timeline Unrealistic; Budget Miscalculation,5.03,Needs Revision
112,Education,Manipur,32.3,0,30.6,39.5,29.8,True,Approved,None,7.64,Good
113,Tourism,Arunachal Pradesh,34.92,10,11.9,17.2,0.0,True,Approved,Timeline Unrealistic; Budget Miscalculation,4.74,Poor
114,Education,Sikkim,18.54,1,33.8,40.3,28.07,True,Revised,Timeline Unrealistic; Environmental Non-Compliance,4.77,Poor
115,Health,Assam,60.46,10,22.5,27.5,5.33,False,Approved,None,9.53,Good
116,Education,Sikkim,74.11,3,33.3,37.6,46.28,False,Revised,Environmental Non-Compliance; Technical Flaw,6.62,Needs Revision
117,Road,Mizoram,33.13,3,31.6,33.8,19.02,False,Approved,Budget Miscalculation; Timeline Unrealistic,7.69,Good
118,Power,Arunachal Pradesh,46.89,2,28.8,32.5,42.36,False,Approved,None,7.44,Good
119,Power,Meghalaya,95.6,5,40.5,53.3,44.84,True,Approved,Environmental Non-Compliance; Technical Flaw,6.59,Needs Revision
120,Education,Meghalaya,26.42,3,34.1,32.8,26.61,False,Rejected,Timeline Unrealistic,9.07,Good
121,Health,Arunachal Pradesh,80.18,0,29.8,31.2,0.0,False,Revised,None,5.07,Needs Revision
122,Education,Nagaland,59.76,1,14.9,19.2,30.83,False,Approved,Technical Flaw,5.95,Needs Revision
123,Health,Sikkim,67.09,1,38.2,44.9,0.0,True,Approved,Technical Flaw; Timeline Unrealistic; Budget Miscalculation,7.55,Good
124,Education,Sikkim,23.79,2,15.7,20.7,29.72,False,Approved,None,6.69,Needs Revision
125,Road,Manipur,99.13,3,40.4,43.8,16.86,False,Approved,None,6.44,Needs Revision
126,Road,Sikkim,7.87,0,40.9,40.8,5.24,False,Approved,Timeline Unrealistic; Technical Flaw,6.04,Needs Revision
127,Health,Arunachal Pradesh,36.93,2,36.7,41.4,3.01,False,Approved,Environmental Non-Compliance; Technical Flaw,7.4,Good
128,Road,Sikkim,75.86,0,18.6,21.2,35.62,True,Revised,Environmental Non-Compliance,8.41,Good
129,Power,Tripura,75.77,0,31.6,36.7,11.95,True,Approved,None,6.46,Needs Revision
130,Road,Manipur,82.7,10,24.8,26.3,25.78,False,Revised,None,10.0,Good
131,Power,Mizoram,38.68,1,42.5,49.5,59.25,True,Approved,Technical Flaw,6.27,Needs Revision
132,Power,Assam,57.94,5,42.2,45.6,24.35,False,Approved,Technical Flaw; Environmental Non-Compliance,5.17,Needs Revision
133,Education,Arunachal Pradesh,51.1,3,9.4,13.9,6.1,False,Revised,None,4.26,Poor
134,Power,Meghalaya,37.12,2,29.7,37.0,0.0,True,Rejected,Environmental Non-Compliance; Budget Miscalculation,6.77,Needs Revision
135,Education,Assam,78.49,10,10.2,15.2,3.11,False,Revised,Timeline Unrealistic; Environmental Non-Compliance,8.33,Good
136,Power,Sikkim,79.42,10,33.5,32.7,26.28,False,Approved,None,5.2,Needs Revision
137,Education,Arunachal Pradesh,68.42,5,15.0,22.9,0.0,True,Revised,None,5.94,Needs Revision
138,Education,Meghalaya,27.34,5,26.5,35.0,0.0,True,Approved,None,6.49,Needs Revision
139,Road,Assam,11.11,0,45.6,59.2,5.73,True,Approved,Environmental Non-Compliance; Technical Flaw; Timeline Unrealistic,8.01,Good
140,Road,Sikkim,89.05,5,12.3,10.6,25.61,False,Approved,Environmental Non-Compliance; Timeline Unrealistic,4.87,Poor
141,Education,Meghalaya,74.01,1,25.4,28.9,72.81,False,Approved,Timeline Unrealistic,9.35,Good
142,Power,Nagaland,9.18,3,43.8,46.4,11.39,False,Approved,Timeline Unrealistic; Budget Miscalculation; Technical Flaw,7.91,Good
143,Power,Arunachal Pradesh,80.07,3,25.9,30.4,0.0,False,Approved,Timeline Unrealistic; Budget Miscalculation; Environmental Non-Compliance,4.66,Poor
144,Power,Sikkim,10.41,2,29.1,39.4,8.18,True,Approved,Timeline Unrealistic; Technical Flaw,10.0,Good
145,Road,Meghalaya,91.97,1,32.7,36.0,0.0,False,Approved,Budget Miscalculation; Environmental Non-Compliance,7.73,Good
146,Health,Mizoram,73.07,1,11.5,15.4,61.33,True,Revised,None,7.91,Good
147,Tourism,Sikkim,69.2,3,32.7,30.8,8.0,False,Approved,None,4.94,Poor
148,Power,Arunachal Pradesh,21.2,1,37.2,37.8,46.12,False,Approved,Budget Miscalculation; Timeline Unrealistic; Technical Flaw,9.15,Good
149,Road,Arunachal Pradesh,76.11,3,19.7,27.8,0.0,True,Revised,Technical Flaw; Environmental Non-Compliance; Budget Miscalculation,8.71,Good
150,Tourism,Arunachal Pradesh,39.76,5,6.1,6.5,0.0,True,Approved,None,9.44,Good
151,Tourism,Tripura,11.31,1,29.6,33.2,45.26,False,Approved,Environmental Non-Compliance; Technical Flaw; Budget Miscalculation,4.52,Poor
152,Education,Meghalaya,78.7,10,14.8,16.6,26.01,True,Rejected,None,4.77,Poor
153,Tourism,Assam,93.38,5,13.3,18.7,24.81,True,Revised,Environmental Non-Compliance; Budget Miscalculation; Technical Flaw,10.0,Good
154,Health,Mizoram,97.99,2,7.1,7.0,0.0,False,Approved,None,6.05,Needs Revision
155,Tourism,Mizoram,84.35,5,26.2,28.6,46.87,False,Approved,Technical Flaw; Budget Miscalculation,9.1,Good
156,Road,Nagaland,23.3,3,11.7,10.2,32.85,False,Approved,Technical Flaw,5.77,Needs Revision
157,Power,Tripura,37.75,1,41.5,53.7,0.0,True,Approved,Technical Flaw,6.26,Needs Revision
158,Tourism,Sikkim,9.56,1,36.8,37.5,9.6,False,Revised,Timeline Unrealistic; Budget Miscalculation; Environmental Non-Compliance,7.01,Good
159,Education,Manipur,72.79,5,29.7,30.2,48.6,False,Approved,Technical Flaw,4.9,Poor
160,Road,Assam,98.07,5,42.1,43.9,3.38,False,Approved,Timeline Unrealistic,5.49,Needs Revision
161,Road,Arunachal Pradesh,10.66,2,33.3,37.0,3.11,False,Approved,Environmental Non-Compliance; Budget Miscalculation; Technical Flaw,5.26,Needs Revision
162,Health,Arunachal Pradesh,33.69,10,37.7,47.8,0.0,True,Approved,Environmental Non-Compliance,7.53,Good
163,Road,Sikkim,55.7,10,20.4,28.1,0.0,True,Approved,Technical Flaw; Environmental Non-Compliance,4.84,Poor
164,Tourism,Tripura,19.49,3,39.3,40.1,31.73,False,Revised,Budget Miscalculation; Timeline Unrealistic; Technical Flaw,8.27,Good
165,Tourism,Mizoram,90.71,1,13.1,16.3,44.86,True,Rejected,Technical Flaw; Environmental Non-Compliance; Budget Miscalculation,9.25,Good
166,Tourism,Tripura,12.65,2,27.2,29.9,20.89,False,Approved,Budget Miscalculation; Timeline Unrealistic; Environmental Non-Compliance,6.63,Needs Revision
167,Tourism,Mizoram,56.42,0,7.2,13.5,15.73,True,Approved,None,4.95,Poor
168,Road,Manipur,90.23,3,25.3,25.6,24.71,False,Approved,None,8.77,Good
169,Power,Assam,74.23,1,37.5,48.8,46.57,True,Approved,Environmental Non-Compliance; Budget Miscalculation,5.13,Needs Revision
170,Power,Manipur,68.95,3,34.6,39.6,0.0,False,Approved,Budget Miscalculation; Environmental Non-Compliance; Technical Flaw,9.54,Good
171,Education,Manipur,76.55,5,33.4,37.0,43.56,False,Approved,Technical Flaw,8.41,Good
172,Tourism,Arunachal Pradesh,45.26,10,15.5,19.1,6.44,False,Approved,None,10.0,Good
173,Road,Manipur,97.3,2,37.7,40.8,0.9,False,Approved,Environmental Non-Compliance; Technical Flaw,7.19,Good
174,Education,Mizoram,7.77,0,16.2,19.5,0.0,True,Approved,Technical Flaw; Environmental Non-Compliance,8.5,Good
175,Health,Meghalaya,85.37,0,19.9,21.6,74.18,False,Revised,Technical Flaw; Budget Miscalculation; Timeline Unrealistic,10.0,Good
176,Education,Mizoram,25.98,5,31.2,41.8,0.0,True,Approved,None,7.23,Good
177,Health,Nagaland,44.03,0,20.3,29.0,0.0,True,Approved,None,8.28,Good
178,Health,Nagaland,78.89,2,33.4,34.9,30.03,False,Approved,Timeline Unrealistic,6.57,Needs Revision
179,Power,Manipur,14.86,3,25.7,27.0,23.65,False,Approved,Environmental Non-Compliance; Timeline Unrealistic; Budget Miscalculation,7.3,Good
180,Road,Nagaland,83.5,3,10.5,12.1,40.13,False,Approved,Timeline Unrealistic,4.94,Poor
181,Education,Manipur,88.11,0,7.2,13.2,3.36,True,Approved,Budget Miscalculation; Environmental Non-Compliance; Timeline Unrealistic,9.73,Good
182,Education,Meghalaya,67.79,0,40.6,51.2,61.59,True,Approved,None,7.96,Good
183,Power,Meghalaya,39.0,3,21.5,24.8,0.0,False,Approved,Environmental Non-Compliance,9.85,Good
184,Road,Arunachal Pradesh,36.83,2,31.1,36.5,6.94,True,Approved,Technical Flaw,7.36,Good
185,Power,Assam,69.79,3,18.4,20.9,28.86,True,Approved,Technical Flaw; Environmental Non-Compliance,8.26,Good
186,Tourism,Arunachal Pradesh,40.99,5,17.6,21.2,39.45,False,Revised,Environmental Non-Compliance; Budget Miscalculation; Timeline Unrealistic,6.79,Needs Revision
187,Power,Manipur,60.51,3,22.5,29.5,25.58,True,Approved,None,6.34,Needs Revision
188,Power,Meghalaya,1.66,2,23.2,23.8,33.86,False,Approved,Technical Flaw; Timeline Unrealistic; Budget Miscalculation,8.14,Good
189,Education,Nagaland,3.73,2,28.3,33.5,0.0,True,Revised,Budget Miscalculation; Technical Flaw,5.9,Needs Revision
190,Education,Nagaland,13.87,1,10.9,13.1,23.55,False,Revised,None,9.84,Good
191,Education,Tripura,34.7,3,47.2,56.3,26.61,True,Revised,Budget Miscalculation; Timeline Unrealistic,8.43,Good
192,Education,Nagaland,68.06,5,46.6,45.6,17.36,False,Approved,Budget Miscalculation; Technical Flaw,6.75,Needs Revision
193,Health,Arunachal Pradesh,62.72,0,39.3,51.1,54.81,True,Rejected,Budget Miscalculation,7.87,Good
194,Education,Sikkim,87.13,5,37.3,38.6,2.89,False,Approved,Environmental Non-Compliance,7.51,Good
195,Health,Tripura,49.7,1,26.6,34.2,42.2,True,Revised,Technical Flaw; Timeline Unrealistic,9.62,Good
196,Health,Manipur,60.61,3,39.9,45.9,49.81,True,Approved,None,9.6,Good
197,Education,Sikkim,63.03,1,26.0,25.0,54.2,False,Approved,Timeline Unrealistic; Budget Miscalculation; Environmental Non-Compliance,5.99,Needs Revision
198,Road,Nagaland,1.88,2,14.4,15.6,4.49,True,Approved,None,4.04,Poor
199,Health,Tripura,81.11,0,41.5,48.4,6.65,True,Approved,Technical Flaw,6.5,Needs Revision
200,Health,Mizoram,94.82,1,6.3,9.0,0.0,False,Approved,Budget Miscalculation,5.35,Needs Revision
201,Health,Arunachal Pradesh,28.82,10,12.4,17.0,0.0,True,Revised,None,4.35,Poor
202,Tourism,Assam,76.2,0,36.2,38.1,34.05,False,Approved,Budget Miscalculation,5.79,Needs Revision
203,Health,Mizoram,91.76,1,22.9,26.6,0.0,False,Rejected,None,5.08,Needs Revision
204,Education,Arunachal Pradesh,71.79,10,35.7,33.7,0.0,False,Approved,None,4.97,Poor
205,Tourism,Assam,84.43,3,30.0,30.7,47.15,False,Revised,Timeline Unrealistic; Environmental Non-Compliance,4.68,Poor
206,Health,Manipur,84.58,1,11.8,11.1,0.0,False,Approved,Environmental Non-Compliance; Technical Flaw,6.21,Needs Revision
207,Tourism,Manipur,64.77,1,10.4,11.7,28.88,False,Approved,Budget Miscalculation; Technical Flaw; Timeline Unrealistic,4.34,Poor
208,Education,Arunachal Pradesh,55.65,3,41.7,43.0,0.0,False,Revised,None,7.92,Good
209,Health,Arunachal Pradesh,73.97,10,33.1,43.9,35.66,True,Approved,Environmental Non-Compliance; Timeline Unrealistic,5.04,Needs Revision
210,Health,Sikkim,83.71,10,16.2,20.8,41.91,False,Approved,Technical Flaw; Budget Miscalculation,9.85,Good
211,Education,Manipur,87.89,1,27.8,31.2,23.39,False,Approved,Budget Miscalculation,4.54,Poor
212,Road,Arunachal Pradesh,18.99,5,20.4,22.4,11.16,False,Approved,None,9.37,Good
213,Tourism,Tripura,78.54,0,18.2,26.2,0.0,True,Rejected,None,7.23,Good
214,Health,Arunachal Pradesh,58.64,0,16.0,18.0,48.82,False,Rejected,None,8.01,Good
215,Road,Arunachal Pradesh,32.2,2,12.2,17.3,31.8,True,Approved,None,8.51,Good
216,Road,Nagaland,7.16,0,45.1,55.0,17.27,True,Approved,Technical Flaw,8.11,Good
217,Power,Nagaland,55.11,5,25.3,29.5,43.2,False,Approved,None,7.44,Good
218,Health,Nagaland,11.78,3,46.0,47.9,35.59,False,Approved,None,4.5,Poor
219,Power,Nagaland,19.82,2,36.7,48.8,34.92,True,Revised,Technical Flaw; Timeline Unrealistic; Environmental Non-Compliance,8.74,Good
220,Road,Manipur,66.99,2,46.3,50.2,42.76,False,Rejected,Timeline Unrealistic; Budget Miscalculation; Environmental Non-Compliance,8.14,Good
221,Health,Tripura,84.96,2,16.7,20.9,0.0,False,Approved,Technical Flaw; Timeline Unrealistic; Environmental Non-Compliance,10.0,Good
222,Road,Tripura,51.76,0,32.7,37.6,0.0,True,Approved,Timeline Unrealistic,10.0,Good
223,Education,Manipur,42.14,0,16.1,14.8,0.0,False,Approved,Environmental Non-Compliance; Timeline Unrealistic,4.43,Poor
224,Power,Tripura,28.97,5,24.1,24.4,28.17,False,Revised,None,9.57,Good
225,Education,Mizoram,76.55,1,43.3,52.1,15.33,True,Approved,Timeline Unrealistic,6.57,Needs Revision
226,Tourism,Mizoram,46.54,2,41.1,43.7,34.68,False,Approved,None,5.93,Needs Revision
227,Education,Sikkim,13.66,10,28.3,37.1,3.07,True,Approved,Technical Flaw; Timeline Unrealistic,6.69,Needs Revision
228,Health,Meghalaya,31.7,2,33.8,34.0,42.42,False,Approved,None,5.25,Needs Revision
229,Tourism,Sikkim,80.86,10,22.5,28.8,33.05,True,Rejected,Budget Miscalculation; Technical Flaw,7.91,Good
230,Power,Nagaland,27.27,3,45.9,49.3,6.5,False,Rejected,Environmental Non-Compliance; Timeline Unrealistic,6.83,Needs Revision
231,Tourism,Nagaland,92.18,1,36.6,36.0,20.56,False,Approved,Environmental Non-Compliance,5.17,Needs Revision
